template_code	template_smarts	num_rxns_covered
T0	([O-][N+:2].[cH:1])>>[c:1][N+:2]	167
T1	(Br[c:1].OB(O)[c:2])>>[c:1]-[c:2]	1001
T2	(Cl[c:1].[OH:2])>>[c:1][O:2]	888
T3	O=C(C(F)(F)F)[NH:1]>>[NH2:1]	30
T4	[C:1]=[CH:2]>>[CH:1][CH2:2]	231
T5	[C:1]=[O:2]>>[CH:1][OH:2]	461
T6	(O[CH2:1].[C:3]=[O:4].[OH:2])>>[CH2:1][O:4][C:3][O:2]	35
T7	(Cl[CH2:1].[OH:2])>>[CH2:1][O:2]	451
T8	C1C[O:2][C:1]O1>>[C:1]=[O:2]	130
T9	(Cl[S:2].[OH:1])>>[O:1][S:2]	501
T10	CC(=O)[O:1]>>[OH:1]	167
T11	[CH:1][OH:2]>>[C:1]=[O:2]	315
T12	(Cl[C:1].[OH:2])>>[C:1][O:2]	283
T13	(O=[CH:1].[NH2:2])>>[CH:1]=[N:2]	275
T14	(CC(C)(C)[O:2][C:3]=O.[NH2:1])>>[NH:1][C:3]=[O:2]	15
T15	(Cl[CH2:1].[n:2])>>[CH2:1][n:2]	44
T16	(F[c:1].[NH:2])>>[c:1][N:2]	229
T17	O=[N+:1][O-]>>[NH2:1]	1001
T18	(O[C:1].[NH:2])>>[C:1][N:2]	1001
T19	(O=[C:3][OH:2].[NH:1])>>[N:1][C:3]=[O:2]	1001
T20	(O[C:1].[NH2:2])>>[C:1][NH:2]	1001
T21	CC(C)(C)OC(=O)[NH:1]>>[NH2:1]	749
T22	(I[CH3:1].[OH:2])>>[CH3:1][O:2]	121
T23	CC(C)(C)OC(=O)[N:1]>>[NH:1]	1001
T24	(O[c:1].[OH:2])>>[c:1][O:2]	182
T25	c1ccc(C[N:1])cc1>>[NH:1]	154
T26	(Br[CH2:1].[NH:2])>>[CH2:1][N:2]	779
T27	(Br[c:1].[NH2:2])>>[c:1][NH:2]	522
T28	O[C:1]=[O:2]>>[CH2:1][OH:2]	222
T29	(OOC(c1cccc(Cl)c1)=[O:2].[n:1])>>[n+:1][O-:2]	62
T30	[C:1]=[CH2:2]>>[CH:1][CH3:2]	55
T31	(O=[C:3][OH:2].[NH2:1])>>[NH:1][C:3]=[O:2]	1001
T32	(Br[CH2:1].[n:2])>>[CH2:1][n:2]	90
T33	(CCO[C:1].[NH:2])>>[C:1][N:2]	46
T34	(CS(=O)(=O)O[CH2:1].[nH3:2])>>[CH2:1][n:2]	31
T35	(I[CH2:1].[nH3:2])>>[CH2:1][n:2]	68
T36	(Br[CH2:1].[nH3:2])>>[CH2:1][n:2]	494
T37	CC[O:1][C:3]=[O:2]>>[O:1]=[C:3][OH:2]	437
T38	(C[O:2][C:3]=O.[NH2:1])>>[NH:1][C:3]=[O:2]	98
T39	C[O:1][C:3]=[O:2]>>[O:1]=[C:3][OH:2]	624
T40	(Br[c:1].[nH3:2])>>[c:1]-[n:2]	180
T41	(CCO[C:1].[NH2:2])>>[C:1][NH:2]	129
T42	C[O:1]>>[OH:1]	1001
T43	C1CCC([O:1])OC1>>[OH:1]	92
T44	(Br[c:1].[NH:2])>>[c:1][N:2]	1001
T45	(I[CH2:1].[OH:2])>>[CH2:1][O:2]	135
T46	(Br[c:1].[OH:2])>>[c:1][O:2]	148
T47	Cc1ccc(S(=O)(=O)[n:1])cc1>>[nH3:1]	71
T48	(O=C1CCC(=O)N1[Br:2].[cH:1])>>[c:1][Br:2]	434
T49	(Br[c:1].CC1(C)OB([c:2])OC1(C)C)>>[c:1]-[c:2]	986
T50	(Cl[CH2:1].[SH:2])>>[CH2:1][S:2]	73
T51	c1ccc(C[O:1])cc1>>[OH:1]	524
T52	(F[c:1].[OH:2])>>[c:1][O:2]	639
T53	(O=C(Cl)C(=O)[Cl:2].O=[C:3][OH:1])>>[O:1]=[C:3][Cl:2]	40
T54	(Cl[CH2:1].[NH:2])>>[CH2:1][N:2]	477
T55	([CH:1]=[CH2:3].[NH:2])>>[CH2:1][CH2:3][N:2]	58
T56	(Cl[c:1].[NH2:2])>>[c:1][NH:2]	1001
T57	(Br[CH2:1].[OH:2])>>[CH2:1][O:2]	1001
T58	(O[CH3:1].[OH:2][C:3]=[O:4])>>[CH3:1][O:4][C:3]=[O:2]	56
T59	(O=C1CCC(=O)N1[Br:2].[CH3:1])>>[CH2:1][Br:2]	154
T60	[CH2:1][OH:2]>>[CH:1]=[O:2]	482
T61	(Br[c:1].CN(C)[CH:2])>>[c:1][CH:2]	80
T62	CC(C)(C)[O:1][C:3]=[O:2]>>[O:1]=[C:3][OH:2]	105
T63	(O=[CH:1].[NH2:2])>>[CH2:1][NH:2]	596
T64	(O=[C:1].[NH2:2])>>[CH:1][NH:2]	280
T65	(I[c:1].[nH3:2])>>[c:1]-[n:2]	93
T66	CO[C:1]=[O:2]>>[CH2:1][OH:2]	317
T67	(Cl[C:1].[NH:2])>>[C:1][N:2]	773
T68	(Br[c:1].[CH:2])>>[c:1][C:2]	298
T69	(Br[c:2].OB(O)[c:1])>>[c:1]-[c:2]	232
T70	(O=P(Cl)(Cl)[Cl:2].O[c:1])>>[c:1][Cl:2]	202
T71	(Br[CH2:2].[CH:1])>>[C:1][CH2:2]	65
T72	CC[O:1]>>[OH:1]	1001
T73	([CH2:1].[CH:2]=[CH:3].[OH:4])>>([CH2:2][CH2:3].[CH:1][O:4])	32
T74	(CC1(C)OB([c:2])OC1(C)C.I[c:1])>>[c:1]-[c:2]	144
T75	(I[c:1].[CH:2])>>[c:1][C:2]	178
T76	([N:1]=[C:3].[NH2:2])>>[NH:1][C:3][NH:2]	108
T77	(O[C:1].[OH:2])>>[C:1][O:2]	191
T78	(O[CH2:1].[OH:2][C:3]=[O:4])>>[CH2:1][O:4][C:3]=[O:2]	46
T79	([NH2:3].[O:1][C:2])>>([C:2][NH:3].[OH:1])	37
T80	(Cl[Si:2].[OH:1])>>[O:1][Si:2]	197
T81	(CC(=O)O[C:1].[NH:2])>>[C:1][N:2]	62
T82	(O=[CH:2].[CH2:1])>>[C:1]=[CH:2]	316
T83	Br[c:1]>>[cH:1]	59
T84	(Cl[C:1].[NH2:2])>>[C:1][NH:2]	1001
T85	([N:2]=[C:3].[NH:1])>>[N:1][C:3][NH:2]	113
T86	CC(C)(C)[O:1]>>[OH:1]	260
T87	(Cl[c:1].OB(O)[c:2])>>[c:1]-[c:2]	451
